DBKEY,Dbkey,Station,Group,Site,Data Type,Freq,Stat,Recorder,Agency,Start Date,End Date,Strata,OpNum,County,Latitude,Longitude,X Coord,Y Coord,Basin,Struct,Sec,Twp,Rng
OH647,OH647,ACME1,ACME1,ACME1,FLOW,DA,MEAN,PREF,WMD,8/1/1980,1/18/2007,0,,PAL,263630.698,801716.647,888822.771,827520.009,C51W,PUMP,31,44,41
PI318,PI318,ACME2,ACME2,ACME2,FLOW,DA,MEAN,MOD1,WMD,8/1/1980,12/31/2013,0,,PAL,263536.781,801616.546,894308.808,822106.584,C51W,PUMP,32,44,41
15023,15023,ACME2,ACME2,ACME2,FLOW,DA,MEAN,PLOG,AID,1/1/1980,11/30/2018,0,,PAL,263536.781,801616.546,894308.808,822106.584,C51W,PUMP,32,44,41
90934,90934,G251_P,STA1W,G251,FLOW,DA,MEAN,NA,WMD,10/14/1993,7/3/2019,0,,PAL,263552.035,802631.246,838503.571,823367.969,STA-1W,PUMP,34,44,39
JW222,JW222,G251_P,STA1W,G251,FLOW,DA,MEAN,PREF,WMD,7/3/1999,5/31/2019,0,,PAL,263552.035,802631.246,838503.571,823367.969,STA-1W,PUMP,34,44,39
W4274,W4274,G300_S,G300_S,G300,FLOW,DA,MEAN,MOD1,WMD,11/3/1999,12/31/2013,0,,PAL,264038.391,802146.774,864181.77,852402.644,STA-1W,SPIL,6,44,40
TA411,TA411,G300_S,G300_S,G300,FLOW,DA,MEAN,PREF,WMD,11/2/1999,5/31/2019,0,,PAL,264038.391,802146.774,864181.77,852402.644,STA-1W,SPIL,6,44,40
90939,90939,G300_S,STA1W,G300,FLOW,DA,MEAN,NA,WMD,11/2/1999,7/3/2019,0,,PAL,264038.391,802146.774,864181.77,852402.644,STA-1W,SPIL,6,44,40
KD315,KD315,G300_S,STA1W,G300,FLOW,DA,MEAN,OMD,WMD,11/2/1999,7/3/2019,0,2,PAL,264038.391,802146.774,864181.77,852402.644,STA-1W,SPIL,6,44,40
W4276,W4276,G301_S,G301_S,G301,FLOW,DA,MEAN,MOD1,WMD,11/2/1999,12/31/2013,0,,PAL,264032.264,802248.832,858555.475,851756.314,STA-1W,SPIL,6,44,40
TA412,TA412,G301_S,G301_S,G301,FLOW,DA,MEAN,PREF,WMD,11/2/1999,5/31/2019,0,,PAL,264032.264,802248.832,858555.475,851756.314,STA-1W,SPIL,6,44,40
90940,90940,G301_S,STA1W,G301,FLOW,DA,MEAN,NA,WMD,8/26/1999,7/3/2019,0,,PAL,264032.264,802248.832,858555.475,851756.314,STA-1W,SPIL,6,44,40
JJ809,JJ809,G301_S,STA1W,G301,FLOW,DA,MEAN,OMD,WMD,8/26/1999,7/3/2019,0,3,PAL,264032.264,802248.832,858555.475,851756.314,STA-1W,SPIL,6,44,40
90973,90973,G310_P,G310_P,G310,FLOW,DA,MEAN,NA,WMD,6/8/2000,7/3/2019,0,,PAL,263550.452,802646.373,837131.223,823202.097,STA-1W,PUMP,34,44,39
M2901,M2901,G310_P,STA1W,G310,FLOW,DA,MEAN,PREF,WMD,7/7/2000,5/31/2019,0,,PAL,263550.452,802646.373,837131.223,823202.097,STA-1W,PUMP,34,44,39
W4281,W4281,G338_C,G338_C,G338,FLOW,DA,MEAN,MOD1,WMD,3/20/2002,12/31/2012,0,,PAL,262812.147,802643.261,837612.03,776926.459,STA-2,SPIL,3,46,39
90333,90333,G338_C,G338_C,G338,FLOW,DA,MEAN,PREF,WMD,11/1/2012,5/31/2019,0,,PAL,262812.147,802643.261,837612.03,776926.459,STA-2,SPIL,3,46,39
91012,91012,G338_C,G338_C,G338,FLOW,DA,MEAN,NA,WMD,3/19/2002,7/3/2019,0,,PAL,262812.147,802643.261,837612.03,776926.459,STA-2,SPIL,3,46,39
MC705,MC705,G338_C,G338_C,G338,FLOW,DA,MEAN,TELE,WMD,3/19/2002,7/3/2019,0,,PAL,262812.147,802643.261,837612.03,776926.459,STA-2,SPIL,3,46,39
NI751,NI751,G94A_C,G94A_C,G94A,FLOW,DA,MEAN,NA,WMD,4/15/2000,5/1/2007,0,,PAL,262606.072,801347.781,908160.953,764561.227,CA1,CULV,26,46,41
SX614,SX614,G94A_C,G94A_C,G94A,FLOW,DA,MEAN,NA,WMD,6/3/2002,12/22/2018,0,,PAL,262606.072,801347.781,908160.953,764561.227,CA1,CULV,26,46,41
