"Time Series Data"
"DBKEY" "STATION" "TYPE" "UNITS" "FQ" "STAT" "STRATA" "OPNUM" "RCDR" "AGENCY" "START" "END" "CNTY" "LAT" "LONG" "SEC" "TWP" "RNG" "ALTERNATE ID"
"TA421" "S10D_C" "FLOW" "cfs" "DA" "MEAN" "0" "" "PREF" "WMD" "1973" "2025" "PAL" "262319" "802254" "7" "47" "40" "" 
 
Daily Date ,"DBKEY","Data Value","Qualifier"
"01-JUL-2009","TA421","932.000",""
"02-JUL-2009","TA421","932.000",""
"03-JUL-2009","TA421","940.000",""
"04-JUL-2009","TA421","946.000",""
"05-JUL-2009","TA421","950.000",""
"06-JUL-2009","TA421","942.000",""
"07-JUL-2009","TA421","927.000",""
"08-JUL-2009","TA421","","M"
"09-JUL-2009","TA421","","M"
"10-JUL-2009","TA421","","M"
"11-JUL-2009","TA421","","M"
"12-JUL-2009","TA421","","M"
"13-JUL-2009","TA421","","M"
"14-JUL-2009","TA421","460.000",""
"15-JUL-2009","TA421","","M"
"16-JUL-2009","TA421","","M"
"17-JUL-2009","TA421","","M"
"18-JUL-2009","TA421","304.000",""
"19-JUL-2009","TA421","303.000",""
"20-JUL-2009","TA421","312.000",""
"21-JUL-2009","TA421","314.000",""
"22-JUL-2009","TA421","444.000",""
"23-JUL-2009","TA421","532.000",""
"24-JUL-2009","TA421","527.000",""
"25-JUL-2009","TA421","522.000",""
"26-JUL-2009","TA421","513.000",""
"27-JUL-2009","TA421","505.000",""
"28-JUL-2009","TA421","499.000",""
"29-JUL-2009","TA421","163.000",""
"30-JUL-2009","TA421","0",""
"31-JUL-2009","TA421","0",""
"01-AUG-2009","TA421","0",""
"02-AUG-2009","TA421","0",""
"03-AUG-2009","TA421","0",""
"04-AUG-2009","TA421","0",""
"05-AUG-2009","TA421","0",""
"06-AUG-2009","TA421","0",""
"07-AUG-2009","TA421","0",""
"08-AUG-2009","TA421","0",""
"09-AUG-2009","TA421","0",""
"10-AUG-2009","TA421","0",""
"11-AUG-2009","TA421","0",""
"12-AUG-2009","TA421","0",""
"13-AUG-2009","TA421","0",""
"14-AUG-2009","TA421","0",""
"15-AUG-2009","TA421","0",""
"16-AUG-2009","TA421","0",""
"17-AUG-2009","TA421","0",""
"18-AUG-2009","TA421","0",""
"19-AUG-2009","TA421","0",""
"20-AUG-2009","TA421","0",""
"21-AUG-2009","TA421","0",""
"22-AUG-2009","TA421","0",""
