0	1	2	3	4	5	6	7	8	9	10	11	12	x	CL	Final Timeseries_G94C	Final Timeseries_G94D	Final Timeseries_ACME1	Final Timeseries_S362	Final Timeseries_G300	Final Timeseries_S5AS	Final Timeseries_S5A	Final Timeseries_G301	Final Timeseries_G310	Final Timeseries_G251	Final Timeseries_S6	Final Timeseries_G338
1	0	0	0	0	0	0	0	0	0	179.652	144.038	0	x	1	0	0	0	0	0	0	0	0	0	179.652	144.038	0
1.999	0	0	0	0	0	0	0	0	0	179.652	144.038	0	x	2	0	0	0	0	0	0	0	0	0	179.652	144.038	0
2	0	0	0	0	0	0	0	0	0	179.652	144.038	0	x	3	0	55.446	101.947	0	0	0	0	0	0	179.652	144.038	0
2.999	0	0	0	0	0	0	0	0	0	179.652	144.038	0	x	4	0	0	0	0	0	0	0	0	0	180.7312857	0	0
3	0	55.446	101.947	0	0	0	0	0	0	179.652	144.038	0	x	5	0	55.446	101.947	0	0	0	0	0	0	181.8105714	144.038	0
3.999	0	55.446	101.947	0	0	0	0	0	0	179.652	144.038	0	x	6	0	55.446	101.947	0	0	0	197.7782051	0	0	182.8898571	142.81896	0
4	0	0	0	0	0	0	0	0	0	180.7312857	0	0	x	7	0	0	0	0	0	0	0	0	0	183.9691429	141.59992	0
4.999	0	0	0	0	0	0	0	0	0	180.7312857	0	0	x	8	0	0	0	0	0	0	0	0	0	185.0484286	140.38088	0
5	0	55.446	101.947	0	0	0	0	0	0	181.8105714	144.038	0	x	9	0	0	0	0	0	0	190.1918205	0	0	186.1277143	139.16184	0
5.999	0	55.446	101.947	0	0	0	0	0	0	181.8105714	144.038	0	x	10	0	0	0	0	0	0	0	0	0	187.207	137.9428	0
6	0	55.446	101.947	0	0	0	197.7782051	0	0	182.8898571	142.81896	0	x	11	0	0	0	0	0	0	0	0	0	188.2862857	136.72376	0
6.999	0	55.446	101.947	0	0	0	197.7782051	0	0	182.8898571	142.81896	0	x	12	0	0	0	0	0	0	0	0	0	189.3655714	135.50472	0
7	0	0	0	0	0	0	0	0	0	183.9691429	141.59992	0	x	13	0	55.446	101.947	0	0	0	180.076641	0	0	190.4448571	134.28568	0
7.999	0	0	0	0	0	0	0	0	0	183.9691429	141.59992	0	x	14	0	55.446	101.947	0	0	0	177.5478462	0	0	191.5241429	133.06664	0
8	0	0	0	0	0	0	0	0	0	185.0484286	140.38088	0	x	15	0	0	0	0	0	0	175.0190513	0	0	192.6034286	131.8476	0
8.999	0	0	0	0	0	0	0	0	0	185.0484286	140.38088	0	x	16	0	0	0	0	0	0	172.4902564	0	0	193.6827143	130.62856	0
9	0	0	0	0	0	0	190.1918205	0	0	186.1277143	139.16184	0	x	17	0	55.446	101.947	0	0	0	169.9614615	0	0	194.762	129.40952	0
