0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	x	******	******	DATE	TIME	S39_S	G94A_C	G94B_C	G94C_C	ACME2	ACME1	S362_P	G300_S	S5AS_S	S5A_P	G301_S	G310_P	G251_P	S6	G338_C	S10E_C	S10D_C	S10C_C	S10A_C				
1	0	0	0	0	0	0	0	0	0	0	0	0	593901.3205	1244915.501	0	0	0	0	0	x	******	******	1/1/1995	1	0	0	0	0	0	0	0	0	0	0	0	0	593901.3205	1244915.501	0	0	0	0	0				
1.999	0	0	0	0	0	0	0	0	0	0	0	0	593901.3205	1244915.501	0	0	0	0	0	x	******	******	1/2/1995	2	0	0	0	0	0	0	0	0	0	0	0	0	592739.1971	1299547.533	0	0	0	0	0				
2	0	0	0	0	0	0	0	0	0	0	0	0	592739.1971	1299547.533	0	0	0	0	0	x	******	******	1/3/1995	3	0	0	0	0	204386.9211	170330.5895	0	0	0	0	0	0	643901.985	1143431.547	0	0	0	0	0				
2.999	0	0	0	0	0	0	0	0	0	0	0	0	592739.1971	1299547.533	0	0	0	0	0	x	******	******	1/4/1995	4	0	0	0	0	0	0	0	0	0	0	0	0	645998.7002	0	0	0	0	0	0				
3	0	0	0	0	204386.9211	170330.5895	0	0	0	0	0	0	643901.985	1143431.547	0	0	0	0	0	x	******	******	1/5/1995	5	0	0	0	0	204386.9211	170330.5895	0	0	0	0	0	0	667134.6663	1596170.352	0	0	0	0	0				
3.999	0	0	0	0	204386.9211	170330.5895	0	0	0	0	0	0	643901.985	1143431.547	0	0	0	0	0	x	******	******	1/6/1995	6	0	0	0	0	204386.9211	170330.5895	0	0	0	1530019.842	0	0	568483.8472	1784556.669	0	0	0	0	0				
4	0	0	0	0	0	0	0	0	0	0	0	0	645998.7002	0	0	0	0	0	0	x	******	******	1/7/1995	7	0	0	0	0	0	0	0	0	0	0	0	0	484969.9909	1371599.182	0	0	0	0	0				
4.999	0	0	0	0	0	0	0	0	0	0	0	0	645998.7002	0	0	0	0	0	0	x	******	******	1/8/1995	8	0	0	0	0	0	0	0	0	0	0	0	0	488916.3173	2194504.867	0	0	0	0	0				
5	0	0	0	0	204386.9211	170330.5895	0	0	0	0	0	0	667134.6663	1596170.352	0	0	0	0	0	x	******	******	1/9/1995	9	0	0	0	0	0	0	0	0	0	1413061.298	0	0	489466.7968	1103870.42	0	0	0	0	0				
5.999	0	0	0	0	204386.9211	170330.5895	0	0	0	0	0	0	667134.6663	1596170.352	0	0	0	0	0	x	******	******	1/10/1995	10	0	0	0	0	0	0	0	0	0	0	0	0	490567.7558	1099735.708	0	0	0	0	0				
6	0	0	0	0	204386.9211	170330.5895	0	0	0	1530019.842	0	0	568483.8472	1784556.669	0	0	0	0	0	x	******	******	1/11/1995	11	0	0	0	0	0	0	0	0	0	0	0	0	488789.0954	1218590.348	0	0	0	0	0				
6.999	0	0	0	0	204386.9211	170330.5895	0	0	0	1530019.842	0	0	568483.8472	1784556.669	0	0	0	0	0	x	******	******	1/12/1995	12	0	0	0	0	0	0	0	0	0	0	0	0	452587.117	1009603.865	0	0	0	0	0				
7	0	0	0	0	0	0	0	0	0	0	0	0	484969.9909	1371599.182	0	0	0	0	0	x	******	******	1/13/1995	13	0	0	0	0	265698.1042	221415.0869	0	0	0	488265.5282	0	0	364317.1179	1255362.378	0	0	0	0	0				
7.999	0	0	0	0	0	0	0	0	0	0	0	0	484969.9909	1371599.182	0	0	0	0	0	x	******	******	1/14/1995	14	0	0	0	0	204386.9211	255495.8842	0	0	0	2556453.7	0	0	482158.8756	2969335.342	0	0	0	0	0				
