0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	x	******	******	DATE	TIME	S39_S	G94A_C	G94B_C	G94C_C	ACME2	ACME1	S362_P	G300_S	S5AS_S	S5A_P	G301_S	G310_P	G251_P	S6	G338_C	S10E_C	S10D_C	S10C_C	S10A_C
1	1321713.507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	959620.3262	1568254.925	1578041.227	1678350.824	x	******	******	1/1/1995	1	1321713.507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	959620.3262	1568254.925	1578041.227	1678350.824
1.999	1321713.507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	959620.3262	1568254.925	1578041.227	1678350.824	x	******	******	1/2/1995	2	1455198.669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	950567.9967	1570701.5	1578041.227	1683243.975
2	1455198.669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	950567.9967	1570701.5	1578041.227	1683243.975	x	******	******	1/3/1995	3	1230554.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938751.0368	1565808.349	1575594.651	1675904.249
2.999	1455198.669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	950567.9967	1570701.5	1578041.227	1683243.975	x	******	******	1/4/1995	4	1145144.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	904841.4998	1570701.5	1604953.558	807369.93
3	1230554.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938751.0368	1565808.349	1575594.651	1675904.249	x	******	******	1/5/1995	5	1058217.321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924756.6247	1634312.464	1690583.702	0
3.999	1230554.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938751.0368	1565808.349	1575594.651	1675904.249	x	******	******	1/6/1995	6	1317603.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	930530.543	1617186.436	1690583.702	0
4	1145144.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	904841.4998	1570701.5	1604953.558	807369.93	x	******	******	1/7/1995	7	1251178.734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	911912.1031	1622079.587	1693030.278	0
4.999	1145144.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	904841.4998	1570701.5	1604953.558	807369.93	x	******	******	1/8/1995	8	1221844.293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	915557.5007	1624526.162	1702816.58	0
5	1058217.321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924756.6247	1634312.464	1690583.702	0	x	******	******	1/9/1995	9	1405851.24	0	0	0	0	0	0	0	1098691.02	0	0	0	0	0	0	901171.6364	1617186.436	1705263.155	0
5.999	1058217.321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924756.6247	1634312.464	1690583.702	0	x	******	******	1/10/1995	10	1285381.86	0	0	0	0	0	0	0	2025859.968	0	0	0	0	0	0	879592.8401	1614739.86	1352956.277	0
