0	1	2	3	4	x	DATE	DAY	S10A	S10C	S10C	S39
1	0	0	0	0	x	1/1/1995	1	0	0	0	0
1.999	0	0	0	0	x	1/2/1995	2	0	0	0	0
2	0	0	0	0	x	1/3/1995	3	0	0	0	0
2.999	0	0	0	0	x	1/4/1995	4	0	0	0	0
3	0	0	0	0	x	1/5/1995	5	0	0	0	0
3.999	0	0	0	0	x	1/6/1995	6	0	0	0	0
4	0	0	0	0	x	1/7/1995	7	0	0	0	0
4.999	0	0	0	0	x	1/8/1995	8	0	0	0	0
5	0	0	0	0	x	1/9/1995	9	0	0	0	0
5.999	0	0	0	0	x	1/10/1995	10	0	0	0	0
6	0	0	0	0	x	1/11/1995	11	0	0	0	0
6.999	0	0	0	0	x	1/12/1995	12	0	0	0	0
7	0	0	0	0	x	1/13/1995	13	0	0	0	0
7.999	0	0	0	0	x	1/14/1995	14	0	0	0	0
8	0	0	0	0	x	1/15/1995	15	0	0	0	0
8.999	0	0	0	0	x	1/16/1995	16	0	0	0	0
9	0	0	0	0	x	1/17/1995	17	0	0	0	0
9.999	0	0	0	0	x	1/18/1995	18	0	0	0	0
10	0	0	0	0	x	1/19/1995	19	0	0	0	0
10.999	0	0	0	0	x	1/20/1995	20	0	0	0	0
11	0	0	0	0	x	1/21/1995	21	0	0	0	0
11.999	0	0	0	0	x	1/22/1995	22	0	0	0	0
12	0	0	0	0	x	1/23/1995	23	0	0	0	0
12.999	0	0	0	0	x	1/24/1995	24	0	0	0	0
13	0	0	0	0	x	1/25/1995	25	0	0	0	0
13.999	0	0	0	0	x	1/26/1995	26	0	0	0	0
14	0	0	0	0	x	1/27/1995	27	0	0	0	0
14.999	0	0	0	0	x	1/28/1995	28	0	0	0	0
15	0	0	0	0	x	1/29/1995	29	0	0	0	0
15.999	0	0	0	0	x	1/30/1995	30	0	0	0	0
16	0	0	0	0	x	1/31/1995	31	0	0	0	0
16.999	0	0	0	0	x	2/1/1995	32	0	0	0	0
17	0	0	0	0	x	2/2/1995	33	0	0	0	0
17.999	0	0	0	0	x	2/3/1995	34	0	0	0	0
18	0	0	0	0	x	2/4/1995	35	0	0	0	0
