0	1	2	3	4	5	6	7	8	9	10	11	12	x	SO4	Final Timeseries_G94C	Final Timeseries_G94D	Final Timeseries_ACME1	Final Timeseries_S362	Final Timeseries_G300	Final Timeseries_S5AS	Final Timeseries_S5A	Final Timeseries_G301	Final Timeseries_G310	Final Timeseries_G251	Final Timeseries_S6	Final Timeseries_G338
1	0	0	0	0	0	0	0	0	0	73.923	68.506	0	x	1	0	0	0	0	0	0	0	0	0	73.923	68.506	0
1.999	0	0	0	0	0	0	0	0	0	73.923	68.506	0	x	2	0	0	0	0	0	0	0	0	0	73.923	68.506	0
2	0	0	0	0	0	0	0	0	0	73.923	68.506	0	x	3	0	83.02	80.204	0	0	0	0	0	0	73.923	68.506	0
2.999	0	0	0	0	0	0	0	0	0	73.923	68.506	0	x	4	0	0	0	0	0	0	0	0	0	74.96421429	0	0
3	0	83.02	80.204	0	0	0	0	0	0	73.923	68.506	0	x	5	0	83.02	80.204	0	0	0	0	0	0	76.00542857	68.506	0
3.999	0	83.02	80.204	0	0	0	0	0	0	73.923	68.506	0	x	6	0	83.02	80.204	0	0	0	107.5233523	0	0	77.04664286	68.11297727	0
4	0	0	0	0	0	0	0	0	0	74.96421429	0	0	x	7	0	0	0	0	0	0	0	0	0	78.08785714	67.71995455	0
4.999	0	0	0	0	0	0	0	0	0	74.96421429	0	0	x	8	0	0	0	0	0	0	0	0	0	79.12907143	67.32693182	0
5	0	83.02	80.204	0	0	0	0	0	0	76.00542857	68.506	0	x	9	0	0	0	0	0	0	105.1424091	0	0	80.17028571	66.93390909	0
5.999	0	83.02	80.204	0	0	0	0	0	0	76.00542857	68.506	0	x	10	0	0	0	0	0	0	0	0	0	81.2115	66.54088636	0
6	0	83.02	80.204	0	0	0	107.5233523	0	0	77.04664286	68.11297727	0	x	11	0	0	0	0	0	0	0	0	0	82.25271429	66.14786364	0
6.999	0	83.02	80.204	0	0	0	107.5233523	0	0	77.04664286	68.11297727	0	x	12	0	0	0	0	0	0	0	0	0	83.29392857	65.75484091	0
7	0	0	0	0	0	0	0	0	0	78.08785714	67.71995455	0	x	13	0	83.02	80.204	0	0	0	101.9678182	0	0	84.33514286	65.36181818	0
7.999	0	0	0	0	0	0	0	0	0	78.08785714	67.71995455	0	x	14	0	83.02	80.204	0	0	0	101.1741705	0	0	85.37635714	64.96879545	0
8	0	0	0	0	0	0	0	0	0	79.12907143	67.32693182	0	x	15	0	0	0	0	0	0	100.3805227	0	0	86.41757143	64.57577273	0
8.999	0	0	0	0	0	0	0	0	0	79.12907143	67.32693182	0	x	16	0	0	0	0	0	0	99.586875	0	0	87.45878571	64.18275	0
9	0	0	0	0	0	0	105.1424091	0	0	80.17028571	66.93390909	0	x	17	0	83.02	80.204	0	0	0	98.79322727	0	0	88.5	63.78972727	0
