"Date","S39","G94B","G94C","ACME2","ACME1","S362","G300","S5AS","S5A","G301","G310","G251","S6","G338","S10E","S10D","S10C","S10A"
1995-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-01-02,594.788,NA,NA,0,0,NA,NA,0,0,NA,NA,243.24,2173.872,NA,388.515,642,645,688
1995-01-03,502.972,NA,NA,83.54,69.62,NA,NA,0,0,NA,NA,264.385,2314.041,NA,383.746,640,644,685
1995-01-04,468.056,NA,NA,0,0,NA,NA,0,0,NA,NA,265.234,2122.697,NA,369.854,642,656,330
1995-01-05,432.529,NA,NA,83.54,69.62,NA,NA,0,0,NA,NA,273.51,2099.171,NA,377.996,668,691,0
1995-01-06,538.552,NA,NA,83.54,69.62,NA,NA,0,627.754,NA,NA,232.616,1952.302,NA,380.326,661,691,0
1995-01-07,511.397,NA,NA,0,0,NA,NA,0,0,NA,NA,199.116,1953.118,NA,372.727,663,692,0
1995-01-08,499.398,NA,NA,0,0,NA,NA,0,0,NA,NA,200.712,2058.737,NA,374.201,664,696,0
1995-01-09,574.625,NA,NA,0,0,NA,NA,0,580.409,NA,NA,200.933,2163.845,NA,368.365,661,697,0
1995-01-10,525.383,NA,NA,0,0,NA,NA,0,0,NA,NA,201.381,1893.507,NA,359.496,660,553,0
1995-01-11,599.57,NA,NA,0,0,NA,NA,0,0,NA,NA,200.66,2030.646,NA,353.12,376,388,0
1995-01-12,581.256,NA,NA,0,0,NA,NA,0,0,NA,NA,185.458,1856.792,NA,352.246,0,403,0
1995-01-13,502.332,NA,NA,108.6,90.5,NA,NA,0,199.79,NA,NA,149.531,1828.606,NA,356.393,309,401,0
1995-01-14,148.95,NA,NA,83.54,104.43,NA,NA,0,1047.833,NA,NA,197.978,2488.436,NA,366.551,709,390,0
1995-01-15,348.856,NA,NA,0,0,NA,NA,0,877.161,NA,NA,149.836,2330.631,NA,383.966,725,398,0
1995-01-16,508.128,NA,NA,0,0,NA,NA,0,845.707,NA,NA,162.237,2079.454,NA,387.17,728,401,0
1995-01-17,583.029,NA,NA,77.97,64.98,NA,NA,0,602.399,NA,NA,132.293,2340.155,NA,382.568,729,403,0
1995-01-18,666.73,NA,NA,83.54,69.62,NA,NA,0,0,NA,NA,132.773,2248.893,NA,372.251,721,568,0
1995-01-19,615.1,NA,NA,77.97,64.98,NA,NA,0,0,NA,NA,105.562,2133.99,NA,362.351,698,719,0
1995-01-20,618.249,NA,NA,0,0,NA,NA,0,776.551,NA,NA,67.394,2149.034,NA,350.364,685,706,0
1995-01-21,639.904,NA,NA,0,0,NA,NA,0,0,NA,NA,67.674,2116.651,NA,349.482,673,694,0
